ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3
14,M,BLACK,33-37,3,true,7,,High School Diploma,0,Drug,1-2 years,10 or more,3,1,1,5 or more,5 or more,false,false,0,1,true,1,2 or more,false,false,false,false,false,true,false,true,false,false,false,false,0,10 or more,0,1,,,,,,1,1,false,true,true,false,false
17,M,BLACK,38-42,16,false,6,High,Less than HS diploma,3 or more,Property,1-2 years,10 or more,5,2,3,3,4,true,false,3 or more,4 or more,true,1,2 or more,true,false,false,false,true,true,true,false,false,false,false,false,0,10 or more,0,0,114.5,0,0,0,0,0.545851528,2,false,true,true,false,false
18,M,WHITE,43-47,24,false,1,Standard,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,0,5 or more,0,5 or more,true,true,3 or more,2,false,3 or more,0,true,false,false,true,false,true,false,false,false,false,false,false,0,0,0,2,,,,,,0.452138493,0.74389002,false,true,false,true,false
19,M,BLACK,48 or older,12,false,7,High,At least some college,3 or more,Property,More than 3 years,10 or more,4,0,5 or more,0,5 or more,false,false,3 or more,3,false,2,0,true,false,false,false,false,false,true,false,false,false,false,false,3,0,0,2,43.66666667,0,0,0,0,0.918575064,0.464694656,false,false,false,false,false
20,M,WHITE,48 or older,16,false,3,Standard,Less than HS diploma,0,Property,1-2 years,10 or more,6 or more,0,5 or more,1,5 or more,false,true,2,4 or more,false,3 or more,0,true,false,true,true,true,true,true,false,false,false,false,false,4 or more,0,0,1,228,0,0,0,0,0.794736842,0.320394737,false,true,false,false,true
21,M,BLACK,38-42,5,false,3,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,6,6 or more,3 or more,1,0,3,true,false,3 or more,2,true,0,0,true,true,false,false,false,true,false,true,false,false,false,false,0,1,0,0,,,,,,1,2,false,false,false,false,false
22,M,BLACK,33-37,16,false,5,Standard,Less than HS diploma,3 or more,Drug,1-2 years,10 or more,6 or more,0,1,5 or more,5 or more,false,false,2,4 or more,false,0,2 or more,true,false,false,false,true,true,true,false,false,false,false,false,0,6,0,0,22.85,0.050000001,0,0,0,1,3.196936543,false,false,false,false,false
24,F,WHITE,43-47,16,,5,Standard,Less than HS diploma,0,Other,1-2 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,true,false,3 or more,3,false,2,1,true,false,false,false,false,true,false,false,false,false,false,false,0,0,0,1,,,,,,0.99137931,1,false,false,false,false,false
25,M,BLACK,38-42,18,false,5,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,3 or more,1,5 or more,5 or more,true,false,3 or more,4 or more,true,1,2 or more,true,false,false,false,true,false,false,false,false,false,false,false,0,0,0,1,196,0,0,0,0,0.196428571,0.931760204,false,true,true,false,false
26,M,WHITE,48 or older,17,false,2,,Less than HS diploma,1,Property,1-2 years,9,5,0,5 or more,0,5 or more,false,false,3 or more,4 or more,false,3 or more,0,true,false,false,false,false,true,false,false,false,false,false,false,0,0,0,1,,,,,,1,2,false,true,true,false,false
29,M,BLACK,43-47,6,false,6,High,High School Diploma,0,Property,Greater than 2 to 3 years,7,6 or more,0,5 or more,0,2,false,true,2,3,false,3 or more,0,true,false,false,false,false,true,true,false,false,false,false,false,0,0,0,3 or more,357.4,0,0,0,0,0.895355344,0.204392837,true,false,false,false,false
30,M,BLACK,18-22,2,false,10,Specialized,Less than HS diploma,0,Property,1-2 years,5,2,0,2,4,1,false,false,0,0,false,0,0,false,false,false,false,false,true,false,true,false,false,false,false,0,0,0,3 or more,1087,1,0,0,0,0,0,false,true,true,false,false
32,F,WHITE,43-47,16,,9,Specialized,Less than HS diploma,0,Property,1-2 years,10 or more,6 or more,2,5 or more,0,4,false,false,3 or more,4 or more,true,3 or more,0,true,false,false,false,false,true,true,false,false,false,false,false,0,10 or more,0,1,,,,,,1,0.706479691,true,false,false,false,false
33,M,WHITE,43-47,25,true,8,Standard,High School Diploma,1,Drug,1-2 years,10 or more,2,3 or more,4,2,5 or more,false,true,3 or more,3,true,1,2 or more,true,false,true,false,false,true,true,false,false,false,false,false,0,6,2,0,101,0,0,0,0,0,0,false,true,false,true,false
34,F,WHITE,38-42,12,,10,Specialized,At least some college,3 or more,Property,1-2 years,10 or more,6 or more,0,5 or more,5 or more,5 or more,false,false,1,4 or more,false,3 or more,2 or more,true,false,false,false,true,true,false,false,false,false,false,false,0,6,0,0,44.625,0,0,0,0,0,0,true,true,true,false,false
36,M,BLACK,48 or older,10,false,2,Standard,Less than HS diploma,0,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,4,4,false,false,3 or more,4 or more,false,3 or more,1,true,false,false,false,false,true,false,false,false,true,false,true,4 or more,1,1,2,27.72727273,0,0.227272734,0,0,0.654098361,0.598770492,true,false,false,false,false
37,M,WHITE,43-47,14,false,3,,High School Diploma,2,Drug,Less than 1 year,10 or more,6 or more,3 or more,1,5 or more,5 or more,false,false,3 or more,4 or more,true,0,2 or more,true,false,false,false,false,true,true,false,false,false,false,false,0,0,0,0,,,,,,0,0,false,false,false,false,false
38,M,BLACK,33-37,3,true,6,High,Less than HS diploma,0,Property,Greater than 2 to 3 years,10 or more,6 or more,0,5 or more,0,5 or more,false,false,2,4 or more,false,3 or more,0,true,false,false,false,false,true,true,false,false,true,false,true,3,0,0,1,71.06666667,0.06666667,0,0,0,0,0,false,true,false,false,true
39,M,BLACK,33-37,12,false,3,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,8,6 or more,2,2,1,5 or more,false,false,3 or more,4 or more,true,2,1,true,false,false,false,false,true,false,true,false,false,false,false,0,4,1,0,13.16666667,0,0,0,0,1,1,false,true,false,false,true
40,F,BLACK,38-42,2,,2,Standard,At least some college,1,Property,1-2 years,2,0,0,1,0,0,false,false,0,0,false,0,0,false,false,false,false,false,false,false,true,false,false,false,false,0,0,0,0,,,,,,0.981412639,1,false,false,false,false,false
41,M,WHITE,33-37,14,false,10,Specialized,High School Diploma,1,Property,More than 3 years,10 or more,6 or more,1,5 or more,1,5 or more,false,false,3 or more,4 or more,true,3 or more,0,true,false,false,true,false,true,true,true,false,false,false,false,2,4,3 or more,1,16.28571429,0.142857149,0,0.285714298,0,1,1,false,true,true,false,false
42,M,BLACK,48 or older,3,false,3,Specialized,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,9,4,3 or more,0,0,4,false,true,2,1,true,0,0,true,true,false,false,true,false,true,true,false,false,false,false,0,0,0,0,136.5,0,0,0,0,0.886446886,2,false,false,false,false,false
47,M,WHITE,38-42,12,false,4,Standard,High School Diploma,2,Drug,Less than 1 year,4,6 or more,0,2,3,4,false,false,2,4 or more,false,1,2 or more,true,false,false,false,false,true,false,false,false,false,false,false,4 or more,6,0,0,16.86,0.059999999,0,0.039999999,0.039999999,0.985765125,0.433274021,false,false,false,false,false
48,M,WHITE,38-42,4,false,3,Specialized,High School Diploma,1,Violent/Sex,1-2 years,3,0,0,1,0,0,false,false,0,0,false,0,0,false,false,false,false,false,false,true,true,true,false,false,false,0,10 or more,0,0,97.8,0,0,0,0,1,1.493865031,false,false,false,false,false
50,M,BLACK,38-42,17,false,9,Specialized,Less than HS diploma,0,Drug,Greater than 2 to 3 years,7,6 or more,1,3,3,0,false,false,3 or more,1,false,0,2 or more,false,false,false,true,false,false,false,false,false,false,false,false,0,3,0,3 or more,50.31578947,0,0,0,0,1,2.292364017,false,false,false,false,false
51,F,WHITE,43-47,9,,7,High,At least some college,0,Property,1-2 years,10 or more,6 or more,0,5 or more,5 or more,5 or more,false,true,3 or more,4 or more,false,3 or more,2 or more,true,false,false,false,false,true,true,false,false,true,false,false,4 or more,10 or more,0,3 or more,33.84848485,0,0,0.030303031,0,0.064458371,0.326991943,false,false,false,false,false
52,M,WHITE,33-37,14,false,9,Specialized,At least some college,0,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,4,5 or more,false,false,3 or more,4 or more,false,3 or more,2 or more,true,false,false,false,false,true,true,true,false,false,true,true,2,0,0,1,,,,,,0,0,false,true,true,false,false
53,M,WHITE,18-22,21,false,8,Specialized,At least some college,3 or more,Other,1-2 years,6,3,1,1,1,4,true,false,3 or more,2,true,1,1,true,true,false,false,false,true,true,false,false,true,true,true,4 or more,10 or more,2,3 or more,15.87878788,0.060606062,0,0.030303031,0.030303031,0.286259542,2.091125954,true,true,false,true,false
54,M,BLACK,48 or older,3,false,5,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,2,5 or more,5 or more,5 or more,false,false,3 or more,4 or more,false,3 or more,2 or more,true,false,false,false,false,true,false,false,false,false,false,false,0,0,0,0,,,,,,0,0,false,false,false,false,false
55,M,BLACK,38-42,3,false,5,Specialized,High School Diploma,3 or more,Property,1-2 years,8,6 or more,0,5 or more,1,5 or more,false,false,3 or more,4 or more,false,3 or more,1,true,false,false,false,false,false,false,true,false,false,false,false,0,10 or more,1,0,36.89655172,0,0,0,0,0.945794393,0.34135514,false,false,false,false,false
56,M,BLACK,23-27,4,false,8,High,Less than HS diploma,3 or more,,Greater than 2 to 3 years,4,2,2,0,3,2,true,false,1,3,true,0,1,false,true,false,false,false,true,true,false,false,true,false,false,4 or more,8,1,3 or more,858,0.5,0,0,0,0,0,false,true,true,false,false
57,M,BLACK,38-42,3,false,,High,High School Diploma,0,Violent/Sex,1-2 years,10 or more,6 or more,2,0,2,5 or more,false,false,3 or more,3,false,0,0,true,false,false,true,false,false,false,true,false,false,true,false,4 or more,10 or more,3 or more,0,57.1875,0,0,0,0,1,0.798360656,false,true,false,false,true
59,M,BLACK,33-37,3,false,7,High,High School Diploma,3 or more,,1-2 years,6,6 or more,0,1,5 or more,4,false,false,3 or more,0,false,1,2 or more,false,false,false,false,false,true,true,false,false,false,false,false,0,6,1,0,532,0,0,0,0,0.211466165,0.343280075,false,true,true,false,false
61,M,BLACK,33-37,5,false,9,Specialized,Less than HS diploma,1,Property,Greater than 2 to 3 years,7,5,1,2,5 or more,3,false,false,2,4 or more,false,1,2 or more,false,false,false,false,false,true,true,false,false,true,false,false,0,10 or more,3 or more,0,78,0.210526317,0,0,0,0.220647773,0.24645749,false,false,false,false,false
62,F,WHITE,48 or older,3,,3,,Less than HS diploma,0,Property,Less than 1 year,10 or more,5,0,5 or more,0,5 or more,false,false,3 or more,4 or more,false,3 or more,0,true,false,false,false,false,true,true,false,false,false,false,false,0,0,0,1,13.53846154,0,0,0,0,0,0,false,false,false,false,false
64,F,WHITE,43-47,6,,7,Standard,High School Diploma,2,Other,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,true,false,2,2,false,2,1,true,false,true,false,true,true,true,false,false,false,false,false,0,1,0,1,33.2,0,0,0.050000001,0.100000001,0.954819277,0.550075301,false,false,false,false,false
65,F,WHITE,48 or older,19,,7,High,High School Diploma,0,Property,1-2 years,4,3,0,2,1,2,false,false,3 or more,1,false,2,1,false,false,false,false,false,true,true,false,false,true,false,true,4 or more,9,0,0,159.875,0,0.125,0,0,0.254104769,0.285574668,false,true,true,false,false
66,M,BLACK,33-37,9,true,10,Specialized,At least some college,0,Property,1-2 years,10 or more,6 or more,0,5 or more,4,5 or more,false,false,3 or more,4 or more,false,3 or more,2 or more,true,false,false,false,false,true,false,false,false,true,false,false,0,0,0,1,22.5,0,0,0,0,0,0,false,true,true,false,false
68,M,BLACK,33-37,3,false,,Standard,High School Diploma,2,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,1,5 or more,false,false,2,4 or more,true,0,1,true,false,false,false,true,false,false,false,false,false,false,false,0,0,0,1,,,,,,0,0,true,false,false,false,false
69,M,BLACK,33-37,3,false,6,High,High School Diploma,3 or more,,More than 3 years,10 or more,6 or more,3 or more,3,4,5 or more,false,false,1,4 or more,false,1,2 or more,true,false,false,false,false,false,false,true,false,true,false,true,4 or more,10 or more,3 or more,3 or more,344.8571429,0.571428597,0,0,0,0.186412593,0.453914664,false,false,false,false,false
70,F,WHITE,48 or older,25,,3,Standard,Less than HS diploma,0,,1-2 years,7,5,0,4,1,3,false,false,3 or more,4 or more,false,3 or more,1,true,false,false,false,false,true,true,false,false,false,false,false,0,0,0,3 or more,78.28571429,0,0,0,0,0.708029197,0.999771898,false,true,false,false,true
71,M,WHITE,38-42,12,false,,,High School Diploma,2,Violent/Non-Sex,Less than 1 year,8,6 or more,2,1,4,5 or more,false,true,2,4 or more,false,1,0,true,false,true,false,true,true,true,false,false,false,false,false,0,0,0,0,41,0,0,0,0,1,1,false,false,false,false,false
73,M,BLACK,33-37,6,false,10,Standard,Less than HS diploma,3 or more,Property,1-2 years,8,1,0,5 or more,1,1,false,false,3 or more,0,false,3 or more,0,false,false,false,false,false,true,true,false,false,false,false,false,0,0,0,0,120.6,0,0,0,0,0,0,true,false,false,false,false
74,M,WHITE,38-42,12,false,7,High,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,4,5 or more,false,true,3 or more,4 or more,true,3 or more,2 or more,true,false,true,false,false,true,false,true,false,false,false,false,0,1,3 or more,0,70.5,0.25,0,0,0,0.943262411,1,false,true,true,false,false
75,M,BLACK,43-47,4,false,5,Standard,High School Diploma,0,,More than 3 years,6,6 or more,3 or more,2,4,2,true,true,3 or more,4 or more,true,0,2 or more,true,false,true,true,false,true,false,false,false,false,false,false,0,0,0,0,398,0,0,0,0,0,0,false,true,true,false,false
76,M,WHITE,43-47,6,false,10,Specialized,At least some college,3 or more,,More than 3 years,10 or more,6 or more,0,5 or more,1,4,false,false,3 or more,2,false,3 or more,0,false,false,false,false,false,false,false,false,false,false,false,false,0,6,0,1,34.15789474,0,0.052631579,0.052631579,0,0.25577812,0.562788906,false,false,false,false,false
77,F,WHITE,43-47,9,,9,Specialized,High School Diploma,2,Property,1-2 years,10 or more,3,1,5 or more,5 or more,3,false,false,3 or more,2,false,3 or more,2 or more,false,false,false,false,false,true,true,false,false,false,true,false,2,10 or more,0,0,95.75,0,0,0,0,0.381201044,0.953655352,false,true,false,true,false
78,M,BLACK,33-37,5,false,9,Specialized,Less than HS diploma,1,Property,More than 3 years,8,5,1,2,4,5 or more,false,false,3 or more,4 or more,false,2,2 or more,true,false,false,true,false,true,false,false,false,false,false,true,3,10 or more,3 or more,0,55.54545455,0.121212125,0,0,0,0.605564648,0.597790507,false,false,false,false,false
80,M,BLACK,33-37,12,false,5,Standard,High School Diploma,2,Property,1-2 years,6,4,1,2,2,1,false,false,1,2,false,1,1,true,false,false,false,false,true,true,true,false,false,false,true,0,1,0,1,33.47368421,0,0,0,0,0.878930818,0.574292453,false,false,false,false,false
82,M,BLACK,33-37,3,false,1,Standard,High School Diploma,1,Property,Greater than 2 to 3 years,10 or more,1,3 or more,4,0,5 or more,false,false,3 or more,3,false,3 or more,0,true,false,false,false,false,true,true,false,false,false,false,false,0,0,3 or more,0,471.5,0,0.5,0,0,0,0,false,true,true,false,false
84,M,BLACK,38-42,3,false,7,High,High School Diploma,0,Drug,Greater than 2 to 3 years,10 or more,2,2,2,5 or more,5 or more,false,true,2,2,true,1,2 or more,true,false,false,false,false,true,false,false,false,false,false,false,0,4,0,1,69.3,0,0,0,0,0.227994228,0.527056277,false,false,false,false,false
85,F,BLACK,33-37,3,,1,,Less than HS diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,0,5 or more,false,false,3 or more,4 or more,true,3 or more,0,true,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0,,,,,,0,0,false,true,true,false,false
86,M,WHITE,43-47,14,false,6,High,High School Diploma,0,Drug,1-2 years,9,6 or more,1,3,3,5 or more,false,false,2,4 or more,false,2,1,true,false,false,false,false,true,true,false,false,false,false,false,0,10 or more,0,0,37.25,0,0,0,0,1,1.634228188,false,true,false,false,true
88,F,BLACK,33-37,3,,7,High,High School Diploma,2,Violent/Non-Sex,More than 3 years,10 or more,6 or more,2,5 or more,1,5 or more,false,false,3 or more,2,true,3 or more,1,true,false,false,false,false,true,false,true,false,false,false,false,0,0,0,2,185.5,0,0,0,0,0.859838275,0.984501348,false,true,false,true,false
90,M,BLACK,43-47,3,false,1,High,High School Diploma,3 or more,Drug,1-2 years,7,6 or more,3 or more,0,4,4,false,true,1,1,false,0,2 or more,true,false,true,false,false,true,true,false,false,false,false,false,0,6,3 or more,0,33.04545455,0.045454547,0,0,0,0.894085282,1.004814305,false,false,false,false,false
91,M,WHITE,33-37,4,false,9,Standard,High School Diploma,1,Property,1-2 years,8,5,0,5 or more,2,3,false,false,2,2,false,3 or more,0,false,false,false,false,true,true,true,false,false,false,false,false,0,6,0,1,33.15,0,0,0,0,0.876319759,0.550904977,false,false,false,false,false
92,M,BLACK,38-42,3,false,5,Standard,Less than HS diploma,2,Drug,Less than 1 year,10 or more,6 or more,2,1,1,5 or more,false,true,0,3,true,0,0,true,false,true,false,true,true,false,false,false,false,false,false,0,0,0,1,25.6,0,0,0,0,0.2890625,0.951171875,false,true,false,false,true
93,M,WHITE,33-37,16,false,4,Standard,High School Diploma,2,Other,Less than 1 year,6,2,1,1,0,2,false,true,1,1,false,1,0,false,false,true,false,true,true,false,false,false,false,false,false,0,10 or more,0,0,34.2,0.06666667,0,0,0,0.651072125,1.423976608,false,true,false,false,true
94,M,WHITE,28-32,6,false,6,High,High School Diploma,0,Property,Less than 1 year,10 or more,6 or more,2,4,4,5 or more,false,true,1,4 or more,false,2,2 or more,true,false,false,false,false,true,false,false,false,false,false,false,0,0,0,0,7.857142857,0,0,0,0,1,1,false,true,true,false,false
95,M,BLACK,33-37,6,false,6,High,Less than HS diploma,0,,1-2 years,10 or more,1,2,1,5 or more,1,false,false,3 or more,0,true,0,2 or more,false,false,false,false,false,true,true,false,false,false,false,false,0,6,0,1,45.85714286,0.071428575,0,0,0,1,0.568925234,false,true,false,false,true
96,M,WHITE,43-47,14,false,10,Specialized,High School Diploma,0,Property,1-2 years,10 or more,6 or more,0,5 or more,2,5 or more,true,false,3 or more,3,false,3 or more,1,true,false,false,false,false,true,true,false,false,false,false,false,0,6,0,2,137.2222222,0,0,0,0,0.153036437,0.295748988,false,true,true,false,false
97,F,WHITE,28-32,4,,10,Specialized,Less than HS diploma,1,Property,Greater than 2 to 3 years,10 or more,6 or more,0,4,2,5 or more,false,false,2,3,false,3 or more,2 or more,true,false,false,false,true,true,true,false,false,false,false,true,4 or more,10 or more,0,0,30.6,0.100000001,0.200000003,0,0.100000001,0.173202614,2,false,false,false,false,false
99,M,WHITE,48 or older,5,false,6,High,High School Diploma,3 or more,Property,Greater than 2 to 3 years,10 or more,6 or more,0,5 or more,0,3,false,false,2,4 or more,false,3 or more,0,true,false,false,false,false,false,true,false,false,false,true,false,0,0,0,0,,,,,,0,0,false,false,false,false,false
100,M,WHITE,48 or older,11,false,6,Specialized,High School Diploma,1,Drug,More than 3 years,10 or more,6 or more,2,0,5 or more,5 or more,false,true,3 or more,4 or more,false,0,2 or more,true,false,false,false,false,true,false,false,false,false,false,false,3,5,0,1,43.57142857,0,0,0,0,0,0,false,false,false,false,false
101,F,BLACK,33-37,12,,5,Standard,At least some college,0,Property,Less than 1 year,4,2,0,3,0,3,false,false,2,1,false,2,0,true,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0,38.4,0,0,0,0,1,0.951171875,false,false,false,false,false
104,M,BLACK,33-37,6,false,8,High,High School Diploma,2,Violent/Non-Sex,Greater than 2 to 3 years,7,6 or more,2,3,0,5 or more,false,false,1,2,true,1,0,true,false,false,false,false,false,true,true,false,true,true,false,0,0,0,1,164.2,0.100000001,0,0,0,0.974421437,0.444884287,false,false,false,false,false
108,M,BLACK,48 or older,6,false,4,Standard,High School Diploma,3 or more,,1-2 years,3,1,0,0,4,0,false,false,2,1,true,0,2 or more,false,true,false,false,false,true,true,false,false,false,false,true,0,0,0,1,117,0,0,0,0,0,0,false,false,false,false,false
109,F,WHITE,43-47,16,,10,Specialized,Less than HS diploma,1,Property,Greater than 2 to 3 years,10 or more,6 or more,1,5 or more,2,5 or more,false,false,3 or more,4 or more,false,3 or more,1,true,false,false,false,false,false,false,false,false,false,false,false,0,2,0,1,142.4285714,0,0,0.142857149,0,0.459378134,0.366349047,true,true,false,true,false
110,M,BLACK,48 or older,11,false,4,Standard,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,5 or more,3,5 or more,false,false,3 or more,4 or more,true,3 or more,1,true,false,false,false,true,false,true,true,false,false,false,false,0,0,0,1,66.8,0,0,0,0,0.395209581,1,false,true,true,false,false
111,M,WHITE,33-37,17,false,6,High,High School Diploma,1,,1-2 years,10 or more,6 or more,2,1,5 or more,5 or more,false,false,3 or more,4 or more,true,0,2 or more,true,false,false,false,false,true,true,false,false,false,false,false,0,0,0,3 or more,64.2,0,0,0.06666667,0,0.473520249,0.379283489,false,true,false,true,false
112,M,BLACK,38-42,21,false,10,Specialized,At least some college,0,Property,1-2 years,10 or more,1,0,5 or more,0,1,false,false,3 or more,1,false,3 or more,0,true,false,false,false,false,true,false,false,false,false,false,false,0,0,0,0,,,,,,0,0,false,true,false,false,true
113,M,WHITE,33-37,25,true,10,Specialized,Less than HS diploma,3 or more,Property,1-2 years,10 or more,6 or more,1,5 or more,2,5 or more,false,false,3 or more,4 or more,false,3 or more,2 or more,true,false,false,false,false,true,true,false,false,false,false,false,4 or more,2,3 or more,3 or more,36.75,0.375,0,0.125,0,0,0,false,true,true,false,false
114,M,BLACK,43-47,5,false,3,,High School Diploma,1,Drug,Greater than 2 to 3 years,10 or more,6 or more,0,1,5 or more,5 or more,false,false,3 or more,4 or more,false,0,2 or more,true,false,false,true,false,false,false,false,false,false,true,true,0,0,0,0,115.375,0,0,0,0,0.275189599,0.791440953,false,false,false,false,false
115,M,WHITE,38-42,12,true,8,High,Less than HS diploma,0,Property,Less than 1 year,10 or more,5,3 or more,5 or more,0,5 or more,false,false,3 or more,2,true,3 or more,0,true,false,false,false,true,true,true,false,false,true,true,true,4 or more,0,0,2,,,,,,0,0,false,true,false,false,true
